,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
100,2021,1,Chubut,45501,40960,3444,23723,187120,132340
101,2021,1,Córdoba,260350,444695,134634,54137,170650,910881
102,2021,1,Corrientes,49160,62876,3337,5949,53030,126625
103,2021,1,Entre Ríos,83688,118424,16846,20836,121690,251963
104,2021,1,Formosa,20663,11412,2562,15669,3800,50686
105,2021,1,Jujuy,32254,54324,17322,2677,38790,110456
106,2021,1,La Pampa,8946,58711,15779,12369,13000,97105
107,2021,1,La Rioja,17363,34984,1,250,300,52628
108,2021,1,Mendoza,91844,69295,38619,18332,8330,218923
109,2021,1,Misiones,48292,82339,7064,4796,68960,149387
110,2021,1,Neuquén,30223,70457,14171,17752,6320,133235
111,2021,1,Río Negro,48777,42192,17828,13994,183770,141168
112,2021,1,Salta,54768,89187,31498,5669,64520,187574
113,2021,1,San Juan,40072,11589,6671,11482,84530,78267
114,2021,1,San Luis,8417,10678,28,63826,362050,119154
115,2021,1,Santa Cruz,12347,23089,5975,4264,3900,46065
116,2021,1,Santa Fe,277012,421480,70976,39140,175190,826127
117,2021,1,Santiago Del Estero,26468,75849,570,5158,35960,111641
118,2021,1,Tierra Del Fuego,12853,27247,6,0,3160,40422
119,2021,1,Tucumán,147199,12185,69954,1834,7400,231912
120,2020,4,Buenos Aires,635651,2441248,804991,93444,579270,4033261
121,2020,4,Capital Federal,163060,1142528,39890,4815,292370,1379530
122,2020,4,Catamarca,26870,5115,17856,322,22330,52396
123,2020,4,Chaco,44332,61200,23687,7997,18750,139091
124,2020,4,Chubut,45703,39756,3040,23363,187120,130574
125,2020,4,Córdoba,267396,439322,125620,52827,175360,902701
126,2020,4,Corrientes,50102,61495,3146,5626,52900,125659
127,2020,4,Entre Ríos,85683,113670,15653,20206,121690,247381
128,2020,4,Formosa,21264,10789,2432,15341,3800,50206
129,2020,4,Jujuy,32850,52815,15639,1077,34700,105851
130,2020,4,La Pampa,9009,58945,15432,12194,13150,96895
131,2020,4,La Rioja,17513,34984,1,250,300,52778
132,2020,4,Mendoza,91842,68364,36083,18331,8330,215453
133,2020,4,Misiones,49462,79855,6589,4359,68960,147161
134,2020,4,Neuquén,30468,70614,13732,17689,6320,133135
135,2020,4,Río Negro,48991,42022,17826,13994,183770,141210
136,2020,4,Salta,56659,87817,30604,5858,64520,187390
137,2020,4,San Juan,40072,7004,6599,10468,84530,72596
138,2020,4,San Luis,8417,11767,27,63019,362050,119435
139,2020,4,Santa Cruz,12347,19657,1041,4659,29700,40674
140,2020,4,Santa Fe,287271,414746,62692,38712,173920,820813
141,2020,4,Santiago Del Estero,26812,70522,570,5169,35960,106669
142,2020,4,Tierra Del Fuego,12853,26439,6,0,3160,39614
143,2020,4,Tucumán,149322,11150,68043,1834,7400,231089
144,2020,3,Buenos Aires,653930,2384557,749087,94162,555410,3937277
145,2020,3,Capital Federal,170375,1129573,39417,3936,293740,1372675
146,2020,3,Catamarca,26868,3690,16857,261,22280,49904
147,2020,3,Chaco,45745,58825,20675,6706,20030,133954
148,2020,3,Chubut,45761,39386,2897,23216,187670,130027
149,2020,3,Córdoba,276360,430771,102217,48368,97560,867472
150,2020,3,Corrientes,50858,58681,2960,5513,53790,123391
151,2020,3,Entre Ríos,87892,106950,13954,20379,123200,241495
152,2020,3,Formosa,21790,10003,2000,15023,3930,49209
153,2020,3,Jujuy,32611,57682,11112,952,43710,106728
154,2020,3,La Pampa,9015,56845,14677,11893,13050,93735
155,2020,3,La Rioja,17346,34984,1,250,350,52616
156,2020,3,Mendoza,91908,64672,32817,17523,8680,207788
157,2020,3,Misiones,50195,77989,2572,3445,89850,143186
158,2020,3,Neuquén,30222,70446,11043,16787,7370,129235
159,2020,3,Río Negro,49530,40001,10381,13187,183680,131467
160,2020,3,Salta,58216,84128,25445,5764,72930,180846
161,2020,3,San Juan,40092,9223,5509,14023,84800,77327
162,2020,3,San Luis,8401,10077,6,61828,362530,116565
163,2020,3,Santa Cruz,12845,16098,1027,6938,23730,39281
164,2020,3,Santa Fe,295051,405807,45721,37112,193070,802998
