,Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
3383,SALTA,Rosario de Lerma,Campo Quijano,8929,SI,NO,NO,SI,SI,SI,SI,SI,SI,66147010.0,-249095603902622,-656395050258431
3384,SALTA,Rosario de Lerma,La Merced del Encón,1031,NO,NO,NO,SI,NO,SI,NO,SI,SI,66147015.0,-248709646124106,-655607604731238
3385,SALTA,Rosario de Lerma,La Silleta,1402,SI,NO,NO,SI,SI,SI,SI,NO,NO,66147020.0,-248784643256455,-655901794974296
3386,SALTA,Rosario de Lerma,Rosario de Lerma,20795,SI,SI,NO,SI,SI,SI,SI,SI,SI,66147030.0,-249780005506773,-655804316181731
3387,SALTA,San Carlos,Angastaco,823,NO,NO,NO,SI,NO,SI,NO,NO,SI,66154010.0,-256837320095857,-661630084648275
3388,SALTA,San Carlos,Animaná,1276,NO,NO,NO,NO,SI,SI,SI,NO,SI,66154020.0,-259250695350422,-659634886394429
3389,SALTA,San Carlos,El Barrial,437,NO,NO,NO,NO,NO,NO,NO,NO,NO,66154030.0,-259119189620255,-659509642786695
3390,SALTA,San Carlos,San Carlos,2209,NO,NO,NO,SI,SI,SI,SI,NO,SI,66154040.0,-258954496537353,-659374115460195
3391,SALTA,Santa Victoria,Acoyte,60,NO,NO,NO,NO,NO,NO,NO,NO,NO,66161010.0,-222625708057672,-649993425915289
3392,SALTA,Santa Victoria,Campo La Cruz,195,NO,NO,NO,NO,NO,NO,NO,NO,NO,66161020.0,-224282266803066,-651454049664521
3393,SALTA,Santa Victoria,Los Toldos,1002,NO,NO,NO,SI,NO,NO,NO,NO,NO,66161030.0,-222528953049178,-646816676603736
3394,SALTA,Santa Victoria,Nazareno,916,NO,NO,NO,SI,NO,NO,NO,NO,NO,66161040.0,-224818544506086,-650949733414157
3395,SALTA,Santa Victoria,Poscaya,367,NO,NO,NO,NO,NO,NO,NO,NO,NO,66161050.0,-224336266127546,-650678957138662
3396,SALTA,Santa Victoria,San Marcos,171,NO,NO,NO,NO,NO,NO,NO,NO,NO,66161060.0,-2250900544813,-651012423839061
3397,SAN JUAN,Chimbas,Villa Paula Albarracin,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-314936358990356,-685357082138994
3398,SAN JUAN,Iglesia,Angualasto,316,NO,NO,NO,NO,SI,NO,NO,NO,SI,70049010.0,-300536455973497,-691717079231376
3399,SAN JUAN,Iglesia,Bella Vista,325,NO,NO,NO,NO,NO,NO,NO,NO,NO,70049020.0,-304401531794669,-692447866603611
3400,SAN JUAN,Iglesia,Iglesia,661,NO,NO,NO,NO,SI,NO,SI,NO,NO,70049030.0,-304128218913916,-692051642049627
3401,SAN JUAN,Iglesia,Las Flores,906,NO,NO,NO,SI,NO,NO,SI,SI,SI,70049040.0,-303242644504455,-692453069928074
3402,SAN JUAN,Iglesia,Pismanta,98,NO,NO,NO,NO,SI,NO,NO,NO,NO,70049050.0,-302709800462776,-692286104874715
3403,SAN JUAN,Iglesia,Rodeo,2625,NO,NO,SI,NO,NO,NO,SI,SI,SI,70049060.0,-30209958054186,-691336132382893
3404,SAN JUAN,Iglesia,Tudcum,699,NO,NO,NO,NO,NO,NO,SI,NO,NO,70049070.0,-301883781131447,-692702835946583
3405,SAN JUAN,Jáchal,El Fical,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-302202750575676,-686909967597496
3406,SAN JUAN,Jáchal,El Fiscal,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-302202750575676,-686909967597496
3407,SAN JUAN,Jáchal,El Médano,96,NO,NO,NO,NO,NO,NO,NO,NO,NO,70056010.0,-301293832105379,-686791733044187
3408,SAN JUAN,Jáchal,Gran China,484,NO,NO,NO,NO,NO,SI,NO,NO,NO,70056020.0,-301225273246059,-687161999143951
3409,SAN JUAN,Jáchal,Huaco,1454,NO,NO,NO,NO,NO,SI,SI,NO,NO,70056030.0,-301570667184839,-684809365791381
3410,SAN JUAN,Jáchal,La Falda,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-301628729670379,-686652633159112
3411,SAN JUAN,Jáchal,Mogna,114,NO,NO,NO,NO,NO,NO,NO,NO,NO,70056040.0,-306845100664473,-683775543569819
3412,SAN JUAN,Jáchal,Niquivil,819,NO,NO,NO,NO,NO,NO,SI,NO,SI,70056050.0,-304006750071532,-686910630973149
3413,SAN JUAN,Jáchal,Pampa Vieja,740,NO,NO,NO,NO,NO,SI,NO,NO,NO,70056060.0,-302202750575676,-686909967597496
3414,SAN JUAN,Jáchal,San Isidro,408,NO,NO,NO,NO,NO,SI,NO,NO,NO,70056070.0,-301488923473271,-687044945534412
3415,SAN JUAN,Jáchal,San José de Jáchal,10940,NO,NO,SI,SI,SI,SI,SI,SI,SI,70056080.0,-302427672850044,-687454934559357
3416,SAN JUAN,Jáchal,Tamberías,622,NO,NO,NO,NO,NO,SI,SI,NO,NO,70056090.0,-301822864487075,-687277857836372
3417,SAN JUAN,Jáchal,Villa Malvinas Argentinas,340,NO,NO,NO,NO,NO,NO,NO,NO,NO,70056100.0,-302142413595614,-687165558327867
3418,SAN LUIS,Ayacucho,La Avenencia,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3224501781,-6641237917
3419,SAN LUIS,Ayacucho,La Botija,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3223779512,-6657895642
3420,SAN LUIS,Ayacucho,La Brea,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-32218073280756,-658748842663651
3421,SAN LUIS,Ayacucho,La Majada,0,NO,NO,NO,NO,NO,SI,NO,NO,NO,,-325298829031211,-660429032510053
3422,SAN LUIS,Ayacucho,La Represita,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-321611532404767,-656840749663906
3423,SAN LUIS,Ayacucho,La Salvadora,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3228620178,-66732734
3424,SAN LUIS,Ayacucho,Las Chacras,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3263547762,-6614025792
3425,SAN LUIS,Ayacucho,Las Chimbas,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-321565177184576,-665511142613289
3426,SAN LUIS,Ayacucho,Las Lagunitas,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3202753784,-6624032971
3427,SAN LUIS,Ayacucho,Leandro N. Alem,379,NO,NO,NO,NO,NO,SI,NO,NO,NO,74007030.0,-321047821044922,-659621124267578
3428,SAN LUIS,Ayacucho,Lomas Blancas,0,NO,NO,NO,NO,NO,SI,NO,NO,NO,,-323338629051211,-664716765323555
3429,SAN LUIS,Ayacucho,Los Quemados,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-318916077583343,-65731320177862
3430,SAN LUIS,Ayacucho,Luján,2016,NO,NO,NO,NO,NO,SI,SI,NO,NO,74007040.0,-323660349058479,-659425439975458
3431,SAN LUIS,Ayacucho,Pampa Grande,0,NO,NO,NO,SI,NO,NO,NO,NO,NO,,-323724224723278,-663077548668586
3432,SAN LUIS,Ayacucho,Pozo Del Molle,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3253991654,-661496998
3433,SAN LUIS,Ayacucho,Quines,7459,NO,NO,NO,NO,SI,SI,NO,NO,SI,74007050.0,-322330822365033,-658056329969317
3434,SAN LUIS,Ayacucho,Río Juan Gómez,0,NO,NO,NO,NO,NO,SI,NO,NO,NO,,-32603889,-66086944
3435,SAN LUIS,Ayacucho,Rodeo De Cadenas,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-327015629614775,-661900873349156
3436,SAN LUIS,Ayacucho,San Francisco del Monte de Oro,3732,NO,SI,NO,NO,NO,SI,NO,NO,SI,74007070.0,-326006392247112,-661273702635842
3437,SAN LUIS,Ayacucho,San Ignacio,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-320866257032099,-660888231134367
3438,SAN LUIS,Ayacucho,San Miguel,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3214116477,-6581342262
