,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
532,2016,3,Chubut,466,5190,74375,674,0,0,0,0.0,80705
533,2016,3,Córdoba,48,41329,415075,75988,99225,11691,1322,0.0,644678
534,2016,3,Corrientes,15,7425,49471,19956,10006,1263,210,0.0,88346
535,2016,3,Entre Ríos,1768,10657,110844,38665,17737,1307,248,0.0,181226
536,2016,3,Formosa,1723,4277,15581,3964,3658,648,10,0.0,29861
537,2016,3,Jujuy,286,6878,27425,5943,1978,31,0,0.0,42541
538,2016,3,La Pampa,374,10187,55792,15,224,114,11,0.0,66717
539,2016,3,La Rioja,9,2349,9686,3316,1562,11,2,0.0,16935
540,2016,3,Mendoza,37,10,178186,73,48,5,17,0.0,178376
541,2016,3,Misiones,1010,6030,48871,23394,17043,1559,91,0.0,97998
542,2016,3,Neuquén,1531,1527,87404,680,12541,2118,225,0.0,106026
543,2016,3,Río Negro,1007,6026,90689,207,5953,790,99,0.0,104771
544,2016,3,Salta,1107,6922,71214,20229,8099,197,50,0.0,107818
545,2016,3,San Juan,8,245,58577,0,0,0,2,0.0,58832
546,2016,3,San Luis,7,4,14077,0,0,1,2,0.0,14091
547,2016,3,Santa Cruz,189,22,31904,221,52,9,0,0.0,32397
548,2016,3,Santa Fe,3958,49501,360606,72657,69864,10210,1308,0.0,568104
549,2016,3,Santiago Del Estero,26,5097,22747,6216,2497,9,0,0.0,36592
550,2016,3,Tierra Del Fuego,16,285,35080,0,0,0,0,0.0,35381
551,2016,3,Tucumán,127,12247,87970,36518,13150,1288,4,0.0,151304
552,2016,2,Buenos Aires,10786,133385,2250898,335296,334723,31494,11933,0.0,3108515
553,2016,2,Capital Federal,4352,1736,859039,146091,213010,19597,13477,0.0,1257302
554,2016,2,Catamarca,15,5736,14742,4567,1496,47,1,0.0,26604
555,2016,2,Chaco,197,8063,45823,20346,12090,1571,201,0.0,88291
556,2016,2,Chubut,572,5421,73078,775,0,0,0,0.0,79846
557,2016,2,Córdoba,258,57050,437547,71980,82618,8355,1242,0.0,659050
558,2016,2,Corrientes,41,10018,47916,19200,8851,803,191,0.0,87020
559,2016,2,Entre Ríos,4734,16368,115000,36917,15522,849,205,0.0,189595
560,2016,2,Formosa,1675,5401,14370,3569,3218,593,10,0.0,28836
561,2016,2,Jujuy,2561,8292,25301,5589,1750,3,0,0.0,43496
562,2016,2,La Pampa,429,10616,63928,15,119,96,11,0.0,75214
563,2016,2,La Rioja,10,3151,9043,3190,1344,3,5,0.0,16746
564,2016,2,Mendoza,437,30,176922,61,44,5,20,0.0,177519
565,2016,2,Misiones,1973,7899,49586,21385,14820,1073,96,0.0,96832
566,2016,2,Neuquén,1916,1691,88854,583,10241,1285,208,0.0,104778
567,2016,2,Río Negro,1189,6107,92158,194,4877,520,86,0.0,105131
568,2016,2,Salta,2160,10123,70875,18759,7129,140,49,0.0,109235
569,2016,2,San Juan,10,273,57589,0,0,0,4,0.0,57876
570,2016,2,San Luis,12,4,13931,0,0,1,2,0.0,13950
571,2016,2,Santa Cruz,244,26,31995,142,20,0,0,0.0,32427
572,2016,2,Santa Fe,9486,67325,374960,68505,60469,6509,1277,0.0,588531
573,2016,2,Santiago Del Estero,704,6705,22208,5943,2108,1,0,0.0,37669
574,2016,2,Tierra Del Fuego,16,286,38773,0,0,0,0,0.0,39075
575,2016,2,Tucumán,231,18515,83945,33891,11310,1032,2,0.0,148926
576,2016,1,Buenos Aires,7351,97880,2214760,289929,247372,8315,9529,0.0,2875136
577,2016,1,Capital Federal,2310,43686,869048,178665,192644,6577,10838,0.0,1303768
578,2016,1,Catamarca,15,6102,14653,4241,1334,42,1,0.0,26388
579,2016,1,Chaco,194,8755,46304,19388,10587,1238,184,0.0,86650
580,2016,1,Chubut,94,5095,72396,1066,0,0,0,0.0,78651
581,2016,1,Córdoba,148,59484,414452,65763,66455,4143,1039,0.0,611484
582,2016,1,Corrientes,29,10690,47833,18375,7911,526,170,0.0,85534
583,2016,1,Entre Ríos,2864,17749,104137,35104,14057,457,165,0.0,174533
584,2016,1,Formosa,1738,5731,14163,3229,2906,544,5,0.0,28316
585,2016,1,Jujuy,2543,8558,22383,5188,1623,0,0,0.0,40295
586,2016,1,La Pampa,426,11065,52117,15,78,71,11,0.0,63783
587,2016,1,La Rioja,10,3382,9060,2980,1254,2,3,0.0,16691
588,2016,1,Mendoza,235,21,175376,47,43,5,17,0.0,175744
589,2016,1,Misiones,959,8502,50061,19195,13363,779,68,0.0,92927
590,2016,1,Neuquén,1720,1737,86310,479,7893,143,171,0.0,98453
591,2016,1,Río Negro,1171,6105,90038,203,4246,77,81,0.0,101921
592,2016,1,Salta,1119,10765,65646,17748,6643,119,31,0.0,102071
593,2016,1,San Juan,9,309,56447,0,0,0,2,0.0,56767
594,2016,1,San Luis,8,4,13645,0,0,1,2,0.0,13660
595,2016,1,Santa Cruz,168,29,32188,8,0,0,0,0.0,32393
596,2016,1,Santa Fe,6492,71565,353525,64117,51293,3754,1063,0.0,551809
597,2016,1,Santiago Del Estero,703,7219,22805,5769,1898,0,0,0.0,38394
598,2016,1,Tierra Del Fuego,16,285,33003,0,0,0,0,0.0,33304
599,2016,1,Tucumán,106,20092,84008,31490,10046,871,0,0.0,146613
600,2015,4,Buenos Aires,7985,100303,2253197,274560,240188,3835,8180,0.0,2888246
601,2015,4,Capital Federal,2417,46568,916813,172029,198635,3087,10899,0.0,1350450
602,2015,4,Catamarca,15,6513,14484,4106,1313,39,1,0.0,26471
603,2015,4,Chaco,194,9593,46771,18608,10092,1136,159,0.0,86553
604,2015,4,Chubut,625,5774,71881,168,0,0,0,0.0,78448
605,2015,4,Córdoba,148,63746,427471,62989,67151,3336,1088,0.0,625929
606,2015,4,Corrientes,29,11248,48104,17877,7569,456,150,0.0,85433
607,2015,4,Entre Ríos,2865,18883,104224,33989,13668,399,163,0.0,174191
608,2015,4,Formosa,1791,6081,14279,2704,2713,519,4,0.0,28091
609,2015,4,Jujuy,2551,8876,21867,5044,1587,0,0,0.0,39925
610,2015,4,La Pampa,592,12951,48798,16,63,49,10,0.0,62479
611,2015,4,La Rioja,10,3638,9127,2937,1215,2,3,0.0,16932
612,2015,4,Mendoza,241,23,174719,38,41,5,13,0.0,175080
613,2015,4,Misiones,959,9169,51029,17281,13690,675,52,0.0,92855
614,2015,4,Neuquén,1727,2061,89678,455,7934,9,175,0.0,102039
615,2015,4,Río Negro,3282,4473,89062,201,4024,5,75,0.0,101122
616,2015,4,Salta,1122,11387,65677,17139,6507,99,5,0.0,101936
617,2015,4,San Juan,9,386,55761,0,0,0,2,0.0,56158
618,2015,4,San Luis,8,4,13473,0,0,1,2,0.0,13488
619,2015,4,Santa Cruz,188,26,32338,3,0,0,0,0.0,32555
620,2015,4,Santa Fe,6659,75770,361264,60985,51258,3079,1189,0.0,560204
621,2015,4,Santiago Del Estero,703,7836,23074,5669,1856,0,0,0.0,39138
622,2015,4,Tierra Del Fuego,16,285,32662,0,0,0,0,0.0,32963
623,2015,4,Tucumán,107,21800,83887,29942,9507,837,0,0.0,146080
624,2015,3,Buenos Aires,8361,107351,2266948,262564,200491,2642,7720,0.0,2856078
625,2015,3,Capital Federal,2448,49340,942525,159618,175594,2028,10022,0.0,1341574
626,2015,3,Catamarca,15,6871,14206,4143,812,43,1,0.0,26091
627,2015,3,Chaco,240,10353,47131,19016,7498,979,157,0.0,85374
628,2015,3,Chubut,641,5886,71668,167,0,0,0,0.0,78362
629,2015,3,Córdoba,150,68765,429787,61109,59372,2582,1048,0.0,622813
630,2015,3,Corrientes,33,11921,48127,18168,6111,453,146,0.0,84959
631,2015,3,Entre Ríos,2863,20385,103990,34788,9924,384,153,0.0,172487
632,2015,3,Formosa,1862,6521,14354,2791,1842,379,2,0.0,27751
633,2015,3,Jujuy,2549,9278,21588,5169,966,0,0,0.0,39550
