,Año,Trimestre,Provincia,Mbps (Media de bajada)
206,2020,1,Neuquén,28
207,2020,1,Río Negro,19
208,2020,1,Salta,21
209,2020,1,San Juan,6
210,2020,1,San Luis,21
211,2020,1,Santa Cruz,6
212,2020,1,Santa Fe,22
213,2020,1,Santiago Del Estero,10
214,2020,1,Tierra Del Fuego,7
215,2020,1,Tucumán,32
216,2019,4,Buenos Aires,31
217,2019,4,Capital Federal,44
218,2019,4,Catamarca,25
219,2019,4,Chaco,23
220,2019,4,Chubut,7
221,2019,4,Córdoba,26
222,2019,4,Corrientes,19
223,2019,4,Entre Ríos,17
224,2019,4,Formosa,15
225,2019,4,Jujuy,13
226,2019,4,La Pampa,7
227,2019,4,La Rioja,8
228,2019,4,Mendoza,8
229,2019,4,Misiones,20
230,2019,4,Neuquén,26
231,2019,4,Río Negro,17
232,2019,4,Salta,19
233,2019,4,San Juan,6
234,2019,4,San Luis,21
235,2019,4,Santa Cruz,5
236,2019,4,Santa Fe,21
237,2019,4,Santiago Del Estero,10
238,2019,4,Tierra Del Fuego,7
239,2019,4,Tucumán,30
240,2019,3,Buenos Aires,26
241,2019,3,Capital Federal,39
242,2019,3,Catamarca,9
243,2019,3,Chaco,20
244,2019,3,Chubut,7
245,2019,3,Córdoba,23
246,2019,3,Corrientes,17
247,2019,3,Entre Ríos,15
248,2019,3,Formosa,13
249,2019,3,Jujuy,12
250,2019,3,La Pampa,6
251,2019,3,La Rioja,8
252,2019,3,Mendoza,6
253,2019,3,Misiones,18
254,2019,3,Neuquén,24
255,2019,3,Río Negro,16
256,2019,3,Salta,15
257,2019,3,San Juan,6
258,2019,3,San Luis,20
259,2019,3,Santa Cruz,5
260,2019,3,Santa Fe,18
261,2019,3,Santiago Del Estero,9
262,2019,3,Tierra Del Fuego,7
263,2019,3,Tucumán,19
264,2019,2,Buenos Aires,22
265,2019,2,Capital Federal,30
266,2019,2,Catamarca,9
267,2019,2,Chaco,16
268,2019,2,Chubut,6
269,2019,2,Córdoba,18
270,2019,2,Corrientes,14
271,2019,2,Entre Ríos,12
272,2019,2,Formosa,11
273,2019,2,Jujuy,12
274,2019,2,La Pampa,5
275,2019,2,La Rioja,8
276,2019,2,Mendoza,6
277,2019,2,Misiones,14
278,2019,2,Neuquén,17
279,2019,2,Río Negro,12
280,2019,2,Salta,13
281,2019,2,San Juan,6
282,2019,2,San Luis,20
283,2019,2,Santa Cruz,6
284,2019,2,Santa Fe,15
285,2019,2,Santiago Del Estero,7
286,2019,2,Tierra Del Fuego,6
287,2019,2,Tucumán,19
288,2019,1,Buenos Aires,20
289,2019,1,Capital Federal,25
290,2019,1,Catamarca,8
291,2019,1,Chaco,13
292,2019,1,Chubut,6
293,2019,1,Córdoba,16
294,2019,1,Corrientes,12
295,2019,1,Entre Ríos,11
296,2019,1,Formosa,10
297,2019,1,Jujuy,9
298,2019,1,La Pampa,5
299,2019,1,La Rioja,7
300,2019,1,Mendoza,6
301,2019,1,Misiones,13
302,2019,1,Neuquén,16
303,2019,1,Río Negro,10
304,2019,1,Salta,10
305,2019,1,San Juan,6
306,2019,1,San Luis,9
307,2019,1,Santa Cruz,6
308,2019,1,Santa Fe,13
309,2019,1,Santiago Del Estero,6
310,2019,1,Tierra Del Fuego,6
311,2019,1,Tucumán,17
312,2018,4,Buenos Aires,17
313,2018,4,Capital Federal,23
314,2018,4,Catamarca,8
315,2018,4,Chaco,13
316,2018,4,Chubut,6
317,2018,4,Córdoba,16
318,2018,4,Corrientes,12
319,2018,4,Entre Ríos,11
320,2018,4,Formosa,10
321,2018,4,Jujuy,9
322,2018,4,La Pampa,4
323,2018,4,La Rioja,7
324,2018,4,Mendoza,6
325,2018,4,Misiones,12
326,2018,4,Neuquén,16
327,2018,4,Río Negro,10
328,2018,4,Salta,10
329,2018,4,San Juan,6
330,2018,4,San Luis,9
331,2018,4,Santa Cruz,5
